time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-24T21:44:38.234Z,-7.1022,129.1873,179.17,4.4,mb,,71,2.268,0.86,us,us70007w3y,2020-02-24T22:25:23.040Z,"253km WNW of Saumlaki, Indonesia",earthquake,6.1,7,0.097,31,reviewed,us,us
2020-02-24T21:30:15.620Z,17.8785,-66.8361,13,3.57,md,11,239,0.1058,0.11,pr,pr2020055034,2020-02-25T21:31:38.864Z,"22km SSE of Guanica, Puerto Rico",earthquake,0.97,0.4,0.09,4,reviewed,pr,pr
2020-02-24T21:28:43.580Z,17.946,-67.0366,6,3.13,ml,5,232,0.0947,0.05,pr,pr2020055035,2020-02-24T22:15:32.117Z,"3km SSE of La Parguera, Puerto Rico",earthquake,0.96,0.36,0.07,3,reviewed,pr,pr
2020-02-24T20:59:21.015Z,-2.0034,99.8527,10,5.2,mb,,132,2.6,0.78,us,us70007w28,2020-02-26T23:45:19.040Z,"84km ESE of Muara Siberut, Indonesia",earthquake,7.5,1.8,0.056,107,reviewed,us,us
2020-02-24T20:51:37.060Z,17.8666,-66.8318,12,2.9,md,10,248,0.1184,0.1,pr,pr2020055033,2020-02-24T21:23:16.188Z,"13km SSE of Maria Antonia, Puerto Rico",earthquake,1.05,0.49,0.17,6,reviewed,pr,pr
2020-02-24T19:21:00.040Z,17.8483,-66.8373,12,2.53,md,6,254,0.1335,0.08,pr,pr2020055028,2020-02-24T20:00:46.474Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.88,0.49,0.17,3,reviewed,pr,pr
2020-02-24T18:42:22.460Z,17.8856,-66.8475,14,2.9,md,9,241,0.0949,0.12,pr,pr2020055027,2020-02-24T20:28:04.163Z,"11km SE of Guanica, Puerto Rico",earthquake,1.03,0.66,0.13,4,reviewed,pr,pr
2020-02-24T16:32:58.655Z,-60.3412,-26.1016,10,5,mb,,124,8.267,0.8,us,us70007vzi,2020-02-24T19:24:54.040Z,"147km S of Bristol Island, South Sandwich Islands",earthquake,8.8,1.9,0.094,36,reviewed,us,us
2020-02-24T16:11:08.930Z,17.9511,-66.8576,14,2.72,md,10,207,0.0323,0.1,pr,pr2020055025,2020-02-24T17:40:00.887Z,"4km SE of Maria Antonia, Puerto Rico",earthquake,0.75,0.45,0.2,2,reviewed,pr,pr
2020-02-24T16:03:00.182Z,39.3572,16.1821,10,4.8,mb,,57,0.481,0.56,us,us70007vtm,2020-02-25T07:26:10.900Z,"2km N of Rende, Italy",earthquake,4.8,1.9,0.071,67,reviewed,us,us
2020-02-24T15:21:35.994Z,18.0046,-66.8696,10,2.6,ml,,160,0.042,0.52,us,us70007vt5,2020-02-24T15:56:23.478Z,"1km SSE of Palomas, Puerto Rico",earthquake,1.4,1.7,0.061,35,reviewed,us,us
2020-02-24T15:05:40.826Z,38.4408,44.3206,10,4.2,mb,,88,1,0.53,us,us70007vsx,2020-02-24T15:31:47.040Z,"26km SSE of Saray, Turkey",earthquake,2.3,1.9,0.125,18,reviewed,us,us
